[The Vendor of Sweets] - Part-1 || The Vendor of Sweets || 07-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/676851025506830300_PDF.pdf
[The Vendor of Sweets] - Part-2 || The Vendor of Sweets || 08-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/737777268468514000_PDF.pdf
[The Vendor of Sweets] - Part-3 || The Vendor of Sweets || 09-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/658547805571882800_PDF.pdf
[The Vendor of Sweets] - Part-4 || The Vendor of Sweets || 10-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/211362245052677630_PDF.pdf
[The Vendor of Sweets] - Part-5 || The Vendor of Sweets || 12-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/631673648219470600_PDF.pdf
[Thomas Hardy-The Mayor Of Casterbridge] - Part-1 || Thomas Hardy-The Mayor Of Casterbridge || 13-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/438192532238597200_PDF.pdf
[Thomas Hardy-The Mayor Of Casterbridge] - Part-2 || Thomas Hardy-The Mayor Of Casterbridge || 14-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/806431970907785900_PDF.pdf
[Thomas Hardy-The Mayor Of Casterbridge] - Part-3 || Thomas Hardy-The Mayor Of Casterbridge || 15-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/330278366771553300_PDF.pdf
[Thomas Hardy-The Mayor Of Casterbridge] - Part-4 || Thomas Hardy-The Mayor Of Casterbridge || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/808652799898010800_PDF.pdf
[Harold Pinter-The Birthday Party] - Part-1 || Harold Pinter-The Birthday Party || 17-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/770487037849690100_PDF.pdf
[Harold Pinter-The Birthday Party] - Part-2 || Harold Pinter-The Birthday Party || 19-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/526924208808213060_PDF.pdf
[Harold Pinter-The Birthday Party] - Part-3 || Harold Pinter-The Birthday Party || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/124693465264101090_PDF.pdf
[Test Paper-1] - 1st Grade 2nd Paper English Crash Course || Test Paper-1 || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/124751888401361600_PDF.pdf
[Test Paper-4] - 1st Grade 2nd Paper English Crash Course || Test Paper-4 || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/155015470335013700_PDF.pdf
[टेस्ट संबंधित सूचना] - टेस्ट संबंधित सूचना - 2025 : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/notes/25298952529895.ws
[Test Paper-2] - 1st Grade 2nd Paper English Crash Course || Test Paper-2 || 02-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/notes/13223181322318.ws
