[पाठ्यक्रम परिचर्चा] - Part-1 || पाठ्यक्रम परिचर्चा || 22-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9cZnq42EufK/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-8 || शिक्षा मनोविज्ञान का परिचय || 19-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/3MmxPJdxS3e/video.m3u8
[शिक्षा मनोविज्ञान का परिचय] - Part-9 || शिक्षा मनोविज्ञान का परिचय || 21-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6symS7nEFYK/video.m3u8
[अधिगम] - Part-1 || अधिगम || 22-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/333u39JQPJc/video.m3u8
[अधिगम] - Part-2 || अधिगम || 23-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6gFQMbfY6x2/video.m3u8
[अधिगम] - Part-3 || अधिगम || 24-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/75sMgY9Buxk/video.m3u8
[अधिगम] - Part-4 || अधिगम || 25-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/4pCbpqpGg5s/video.m3u8
[अधिगम] - Part-5 || अधिगम || 26-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/AHAu4hFzxRg/video.m3u8
[अधिगम] - Part-6 || अधिगम || 27-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/6Azp526N84T/video.m3u8
[अधिगम] - Part-7 || अधिगम || 27-April : https://apps-s3-media.utkarshapp.com/file_library/videos/harvesting/2541528/utk-23/1745760806/index.m3u8
[अधिगम] - Part-8 || अधिगम || 28-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/79MEM2AhRHm/video.m3u8
[अधिगम] - Part-9 || अधिगम || 29-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9gNeSJpnDrX/video.m3u8
[अधिगम] - Part-10 || अधिगम || 30-April : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/9b3DQy3rCQg/video.m3u8
[अधिगम] - Part-11 || अधिगम || 01-May : https://d1q5ugnejk3zoi.cloudfront.net/transcoded/95nZ6zTzUSF/video.m3u8
