[Current Affairs Test (18-May, 2025)] - 2nd/3rd Grade Current Affairs || 18-May, 2025 (Digital OMR Test) : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/QhANd3YD/QhANd3YD.m3u8
[मनोविज्ञान, भूगोल और अर्थव्यवस्था] - 2nd Grade GK Target B-01 || मनोविज्ञान, भूगोल और अर्थव्यवस्था || 20-May (Digital OMR Test) : https://apps-s3-jw-prod.utkarshapp.com/jw_v3/PYa6v8Dn/videos/yLHbK95D-notrbHqj.mp4
[अधिगम ] - Part-3 || अधिगम || 19-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/870639115007020200_PDF.pdf
[अधिगम ] - Part-4 || अधिगम || 21-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/399942742932216100_PDF.pdf
[अधिगम ] - Part-5 || अधिगम || 22-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/206028242991704960_PDF.pdf
[अधिगम ] - Part-6 || अधिगम || 23-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/590490816461046100_PDF.pdf
[अधिगम ] - Part-7 || अधिगम || 24-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/854615551145447600_PDF.pdf
[अधिगम ] - Part-8 || अधिगम || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/160568675553023870_PDF.pdf
[अधिगम ] - Part-9 || अधिगम || 26-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/100654233305524030_PDF.pdf
[अधिगम ] - Part-10 || अधिगम || 28-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/677064543178198900_PDF.pdf
[अधिगम ] - Part-11 || अधिगम || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/776135184941048600_PDF.pdf
[अधिगम ] - Part-12 || अधिगम || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/590243383168889100_PDF.pdf
[अधिगम ] - Part-13 || अधिगम || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/89174548375158140_PDF.pdf
[अधिगम ] - Part-14 || अधिगम || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/347777105350551500_PDF.pdf
[बुद्धि] - Part-1 || बुद्धि || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/820307064207273000_PDF.pdf
[बुद्धि] - Part-2 || बुद्धि || 02-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/199572445957131520_PDF.pdf
[बुद्धि] - Part-3 || बुद्धि || 03-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/781862838907683000_PDF.pdf
[बुद्धि] - Part-4 || बुद्धि || 05-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/392310944412497100_PDF.pdf
[बुद्धि] - Part-5 || बुद्धि || 06-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/519797262842217100_PDF.pdf
[बुद्धि] - Part-6 || बुद्धि || 07-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/465943923172371460_PDF.pdf
[व्यक्तित्व] - Part-1 || व्यक्तित्व || 08-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/353906459719919500_PDF.pdf
[व्यक्तित्व] - Part-2 || व्यक्तित्व || 09-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/619141765267287700_PDF.pdf
[व्यक्तित्व] - Part-3 || व्यक्तित्व || 10-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/371066418693228540_PDF.pdf
[व्यक्तित्व] - Part-4 || व्यक्तित्व || 12-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/866432308820164700_PDF.pdf
[व्यक्तित्व] - Part-5 || व्यक्तित्व || 13-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/787785982086571900_PDF.pdf
[समायोजन (Adjustment)] - Part-1 || समायोजन || 14-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/410298863661378500_PDF.pdf
[समायोजन (Adjustment)] - Part-2 || समायोजन || 15-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/330548463483351100_PDF.pdf
[समायोजन (Adjustment)] - Part-3 || समायोजन || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/525715066962283460_PDF.pdf
[अभिप्रेरणा] - Part-1 || अभिप्रेरणा || 17-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/94613380073066750_PDF.pdf
[अभिप्रेरणा] - Part-2 || अभिप्रेरणा || 19-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/287372200792971780_PDF.pdf
[अभिप्रेरणा] - Part-3 || अभिप्रेरणा || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/788217565598578700_PDF.pdf
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-1 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 21-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/418935915449829060_PDF.pdf
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-2 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 22-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/256320287873756380_PDF.pdf
[शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता] - Part-3 || शिक्षा मनोविज्ञान का अर्थ,क्षेत्र एवं उसकी उपयोगिता || 23-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/761236573103957100_PDF.pdf
